리뷰순위,페이지,정렬,브랜드,상품명,가격,가격대,상품URL
1,1,리뷰 많은 순,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186445&dispCatNo=1000001000300240002&trackingCd=Result_1
2,1,리뷰 많은 순,온더바디,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),6400,1만원 미만,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165990&dispCatNo=1000001000300240002&trackingCd=Result_2
3,1,리뷰 많은 순,온더바디,[초특가] 온더바디 발을씻자 코튼 풋샴푸 385ml 레몬/자몽/복숭아/쿨링/비누향 5종 택1,5000,1만원 미만,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000117399&dispCatNo=1000001000300240002&trackingCd=Result_3
4,1,리뷰 많은 순,라보에이치,[청량감MAX] 라보에이치 쿨링&노세범샴푸 750ML 기획(+샴푸100ML),26900,2만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204247&dispCatNo=1000001000400080001&trackingCd=Result_4
5,1,리뷰 많은 순,클로란,[7월올영픽/지성두피&쿨링] 클로란 아쿠아민트 샴푸 더블 기획 (400ml 2입기획),25900,2만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157797&dispCatNo=1000001000400080001&trackingCd=Result_5
6,1,리뷰 많은 순,클로란,[지성두피 & 쿨링] 클로란 아쿠아민트 딥클렌징 쿨링 샴푸 400ml,16900,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154284&dispCatNo=1000001000400080001&trackingCd=Result_6
7,1,리뷰 많은 순,라보에이치,[청량감MAX] 라보에이치 쿨링&노세범샴푸 333ML 기획(+50ML 증정) 탈모증상완화,14900,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204248&dispCatNo=1000001000400080001&trackingCd=Result_7
8,1,리뷰 많은 순,닥터포헤어,[7월 올영픽/한정기획] 닥터포헤어 에어로 쿨링 샴푸 750ml 기획 (+70ml*2ea),26900,2만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258869&dispCatNo=1000001000400080001&trackingCd=Result_8
9,1,리뷰 많은 순,닥터포헤어,[여름필수템/두피쿨링] 닥터포헤어 에어로 쿨링 샴푸 400ml 기획 (+70ml),17900,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000256808&dispCatNo=1000001000400080001&trackingCd=Result_9
10,1,리뷰 많은 순,달리프,[쿨링감UP/탈모증상완화] 달리프 애플민트 쿨링 샴푸 500ml,11900,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154939&dispCatNo=1000001000400080001&trackingCd=Result_10
11,1,리뷰 많은 순,달리프,[쿨링감UP/탈모완화]달리프 애플민트 쿨링 샴푸 더블기획 (500ml+500ml),19800,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154940&dispCatNo=1000001000400080001&trackingCd=Result_11_30
12,1,리뷰 많은 순,클로란,[7월 올영픽/지성두피&쿨링] 클로란 드라이샴푸 150ml 2종 (쿨세범/노세범),9900,1만원 미만,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141612&dispCatNo=1000001000400080005&trackingCd=Result_11_30
13,1,리뷰 많은 순,닥터지,[각질/쿨링/가려움]닥터지 두피랩 쿨 솔트 스케일링 샴푸 500g,26000,2만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201047&dispCatNo=1000001000400080001&trackingCd=Result_11_30
14,1,리뷰 많은 순,려,[두피피지제거&쿨링] 려 루트젠 두피청정 샴푸 515ML+100ML 기획 및 단품,16900,1만원대,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229506&dispCatNo=1000001000400080001&trackingCd=Result_11_30
