리뷰순위,브랜드,상품명,가격,상품내리뷰번호,리뷰ID,리뷰내용,리뷰평점,도움돼요수,사진여부,옵션명
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",1,62073431,곰팡이까지 없애주는 발을 씻자!! 떨어지면 무조건 쟁여야 합니다,5,7614.0,False,쿨링 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",2,61062952,"여름 대비 필수템입니다. 발 전용 세정제라 처음에는 굳이 필요할까 싶었는데, 사용해보니 일반 바디워시와는 확실히 차이가 있었습니다. 스프레이 타입이라 손에 묻히지 않고 바로 발에 분사할 수 있어 간편하고 위생적으로 사용할 수 있습니다. 

세정 후에는 개운함이 오래 유지됩니다. 용량도 넉넉한 편이라 생각보다 오래 사용할 수 있고, 욕실에 두고 가족들과 함께 사용하기에도 좋습니다. 욕실 물때·의류 얼룩·기름때 등 응급 세정용으로도 추천드려요.",5,5310.0,True,쿨링 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",3,61757094,"🏷️사용감
분사하자마자 상큼달달한 자몽껌 향이 화장실에 확 퍼집니다 인위적이지 않아서 씻을 때마다 기분이 너무 좋아요 민트 성분 덕분에 다 씻고 나면 발이 엄청 시원합니다

🏷️장점
-분사형이라 허리 숙이지 않고도 발에 바로 뿌려서 씻기 편해요
-거품이 잘 나서 간단히 문질러도 세정이 잘 되는 느낌이에요
-씻고 나면 발이 정말 상쾌해요
-발냄새 잡는 효과가 생각보다 괜찮아서 만족해요
-욕실에서 빠르게 씻기 좋아서 퇴근 후 루틴으로 사용하기 좋아요

🏷️단점
바닥에 거품이 떨어지면 너무 미끄러워서 조심해야할 거같아요",5,4500.0,True,레몬 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",4,61825678,비누체로 하기에는 귀찮아서 스프레이로 보드리면 간편해서 샀어요. 시원해요.,5,4356.0,True,쿨링 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",5,61971835,다른 향들 전부 사용해봤는데 뭐니뭐니해도 오리지널이 최고인 것 같습니다! 발체취가 완전 줄고 칙칙 뿌려서 사용하는 거다보니까 너무 좋더라고요!,5,3294.0,False,레몬 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",6,61836431,"발을씻자
우리집 필수품이에요
발 씻는거 뿐만 아니라 욕실청소 실내화세탁 옷 얼룩제거 등등 안쓰는곳 없이 온갖곳에 다 사용",5,3276.0,True,자몽향
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",7,61496690,"비누향 너무 좋아요 진짜 세탁 비누 그잡채...

요거 하나 있으면 만능이라 슬리퍼 세탁도 하고 욕실
청소도 하고 발도 씻구 ㅎㅎ 

여름 필수템이죠!!! 나갔다오면 발 찝찝한데 서서 바로 칙칙 뿌려주고 샤워기로 씻어주면 세상 편하고 상쾌해요!!",5,3060.0,True,비누향 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",8,61503228,사실 요새는 잘 안쓰고 잇엇는데 집에 바선생이 나와서 어쩔수 없이 삼 ㅜㅜ,5,2916.0,False,(OY단독)복숭아 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",9,62102994,향만 다를 뿐이지 발을 씻자! 어느 제품을 사용해도 발을 깨끗하게 씻을 수 있어요.,5,2754.0,True,복숭아향 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",10,62098995,약간 속안좋아지는 코튼향이에요 ㅠ 우엑.... 다른향 추천드립니다,5,2214.0,False,비누향 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",11,62043436,분사해서 바로 사용할 수 있어 편하고 사용 후 발이 산뜻했습니다. 쿨링감도 좋아 여름에 특히 쓰기 괜찮았어요.,5,2214.0,False,쿨링 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",12,62043173,분사해서 바로 사용할 수 있어 정말 편했습니다. 사용 후 발이 산뜻해지는 느낌이 있고 향도 시원해서 만족했어요.,5,2214.0,False,쿨링 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",13,61918015,발 씻을때 일반 비누보다 사용하기 편하고 향도 좋아서 늘 이것만 씁니다~,5,2214.0,False,비누향 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",14,61775627,남편이랑 매일 쓰고 있어요!! 레몬향이라 상큼하고 저희는 욕실용세제로도 아주 잘 쓰고 있어요!! 거품도 잘 나서 만능템입니다....❤️,5,2196.0,True,레몬 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",15,61694764,"하필 대용량인데 레몬을 2통이나 구매해서ㅠ 너무 후회됩니다. 그냥 쓰던 복숭아향을 살껄...향이 바뀐건지 상큼한 레몬향이 아니고 너무 찐한 머스크향에 인공적인 레몬향이 나서 역해요...

청소도하고 발에도 쓰려고 산건데 향이 너무 역해서 후회됩니다. 다음엔 무조건 레몬은 안사려구요...향에 민감한분들은 꼭 참고하세요.",2,1980.0,True,레몬 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",16,62077905,"발을씻자 향 중에는 자몽향을 제일 선호하고 자주 쓰는데 할인하고 살때쯤에는 이미 쿨링빼고 다 품절ㅜ 쿨링도 이미 써봤지만 쿨링이라고 뭐가 더 시원한지는 잘 모르겠음..거품도 풍성하게 잘 나고 발을씻자 제품력이야 몇년째 사용할만큼 좋습니다, 무엇보다 편리하다보니 계속해서 쓰는중ㅎ 발에 칙칙뿌려서 비비고 끝ㅎ",5,1890.0,True,쿨링 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",17,62076703,"날이 더워지면서 발 냄새도 신경 쓰여 냉큼 쿨링 옵션으로 선택 했어요

씻을 때마다 발끝부터 시원한 개운함이 싹 올라오는데 외출하고 돌아와서 이걸로 발 닦아주면 하루 피로가 다 날아가는 기분이에요.

거품도 풍성하게 잘 나고 역시 풋샴푸계의 👍🏻
대용량이라 이번 여름 내내 아끼지 않고 팍팍 쓸 수 있어서 든든해요",5,1890.0,True,쿨링 510ml
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",18,60153375,"칙칙 뿌려주면 심하게 나던 발냄새가 싹 사라집니다.
짱짱짱",5,1818.0,False,레몬 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",19,62086256,"온더바디 발을씻자 코튼 풋샴푸 비누향은 풍성한 거품으로 발을 깨끗하게 씻을 수 있어 만족스러웠습니다
비누향이 은은하게 남아 사용 후 상쾌한 기분이 오래 이어졌습니다",5,1674.0,False,비누향 1입
1,온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),"5,950원~",20,62036728,"나❤️발을 씻자
발도 씻고 얼룩도 지우고 청소도 합니다... 집에 없으면 안 됨.
🔒 생리혈 지우기 좋아요",5,1674.0,False,쿨링 510ml
2,온더바디,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),"6,400원~",1,62073431,곰팡이까지 없애주는 발을 씻자!! 떨어지면 무조건 쟁여야 합니다,5,7614.0,False,쿨링 510ml
